name,image
A'ja Wilson,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/A%27ja%20Wilson.png
Andrea Stinson,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Andrea%20Stinson.png
Angel McCoughtry,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Angel%20McCoughtry.png
Becky Hammon,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Becky%20Hammon.png
Betty Lennox,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Betty%20Lennox.png
Breanna Stewart,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Breanna%20Stewart.png
Bridget Pettis,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Bridget%20Pettis.png
Bridgette Gordon,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Bridgette%20Gordon.png
Candace Parker,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Candace%20Parker.png
Candice Dupree,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Candice%20Dupree.png
Cappie Pondexter,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Cappie%20Pondexter.png
Chamique Holdsclaw,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Chamique%20Holdsclaw.png
Cynthia Cooper,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Cynthia%20Cooper.png
Deanna Nolan,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Deanna%20Nolan.png
DeLisha Milton-Jones,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/DeLisha%20Milton-Jones.png
DeWanna Bonner,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/DeWanna%20Bonner.png
Diana Taurasi,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Diana%20Taurasi.png
Elena Baranova,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Elena%20Baranova.png
Eva Nemcova,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Eva%20Nemcova.png
Isabelle Fijalkowski,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Isabelle%20Fijalkowski.png
Janeth Arcain,https://raw.githubusercontent.com/AaronShevire/Image-Address/main/images/Janeth%20Arcain.png
